;Time;E;S;ES;P
387;35.486219852140785;105;438;5;67
388;35.49983759840567;106;439;4;67
389;35.59535976127325;107;440;3;67
390;35.6559461541681;108;441;2;67
391;35.66558405239314;109;441;1;68
392;35.97328203323671;110;441;0;69
393;36.00023912363149;109;440;1;69
394;36.31029651001721;110;441;0;69
395;36.39010710229784;109;440;1;69
396;36.730628293726866;108;439;2;69
397;36.73553662422924;109;440;1;69
398;36.786305154325774;108;439;2;69
399;36.81717046736176;109;440;1;69
400;36.8845107739059;108;439;2;69
401;36.910566190308096;107;438;3;69
402;37.00481514698789;108;439;2;69
403;37.13565996464291;107;438;3;69
404;37.2320493749011;108;439;2;69
405;37.237598471244205;109;440;1;69
406;37.30478068034859;110;441;0;69
407;37.373824187070426;109;440;1;69
408;37.38514500107555;108;439;2;69
409;37.50272607036416;107;438;3;69
410;37.83949577543386;108;438;2;70
411;37.84010209991028;107;437;3;70
412;37.881035936405524;108;437;2;71
413;37.89540630685162;109;438;1;71
414;38.06265047417331;110;439;0;71
415;38.16518005374638;109;438;1;71
416;38.46157827700826;108;437;2;71
417;38.519782504220984;107;436;3;71
418;38.66538172629176;108;437;2;71
419;38.74312986196592;107;436;3;71
420;38.87038356407376;108;437;2;71
421;39.099887391608796;109;438;1;71
422;39.12186148370245;108;437;2;71
423;39.19595383938289;109;438;1;71
424;39.512897496047536;110;438;0;72
425;39.563750415092024;109;437;1;72
426;39.571952858200426;108;436;2;72
427;39.59732637043869;107;435;3;72
428;39.69157487429444;106;434;4;72
429;39.733510926063374;107;435;3;72
430;39.755295417528416;108;436;2;72
431;39.795424280073654;107;435;3;72
432;39.83494405764148;108;435;2;73
433;39.95132928365059;109;436;1;73
434;40.02836661035267;108;435;2;73
435;40.034551872275266;109;435;1;74
436;40.07549714547154;110;435;0;75
437;40.26338241891048;109;434;1;75
438;40.468335170352354;108;433;2;75
439;40.51744890724763;109;433;1;76
440;40.714316855956874;110;433;0;77
441;40.790813257010036;109;432;1;77
442;40.98620890351509;108;431;2;77
443;41.02387469497662;107;430;3;77
444;41.09937631567526;108;430;2;78
445;41.117111484771264;107;429;3;78
446;41.13321463759618;108;430;2;78
447;41.18827212266454;107;429;3;78
448;41.25504066703608;106;428;4;78
449;41.284169471491516;107;429;3;78
450;41.30531052444185;108;430;2;78
451;41.460646033848676;107;429;3;78
452;41.546751407327434;108;430;2;78
453;41.644070271544656;109;431;1;78
454;41.7263423461067;110;432;0;78
455;41.794752021505026;109;431;1;78
456;41.908238504493376;110;431;0;79
457;42.17415152030729;109;430;1;79
458;42.20618236558155;110;431;0;79
