;Time;E;S;ES;P
541;49.834312123382844;109;460;1;49
542;50.20578215428881;108;459;2;49
543;50.332671274194745;109;460;1;49
544;50.3857540423484;108;459;2;49
545;50.56903050362599;107;458;3;49
546;50.60012408487967;108;459;2;49
547;50.840404419945216;107;458;3;49
548;50.84785689501828;106;457;4;49
549;50.893102104224766;105;456;5;49
550;50.90957150338238;106;457;4;49
551;51.056618687712024;105;456;5;49
552;51.06410831604439;104;455;6;49
553;51.0691488726661;105;456;5;49
554;51.08399148326792;104;455;6;49
555;51.24078522746776;105;456;5;49
556;51.270437499726775;106;457;4;49
557;51.36157830786838;107;458;3;49
558;51.49449841186287;108;459;2;49
559;51.53647424988081;109;459;1;50
560;51.61784671216631;110;460;0;50
561;51.74777634223349;109;459;1;50
562;52.313150522364076;108;458;2;50
563;52.4244699534044;107;457;3;50
564;52.46922457952914;106;456;4;50
565;52.48395326472554;105;455;5;50
566;52.52314730734156;106;456;4;50
567;52.55336955005769;107;457;3;50
568;52.56185056253334;108;457;2;51
569;52.64120006776148;107;456;3;51
570;52.643934683735054;108;456;2;52
571;52.73458754705088;107;455;3;52
572;52.797060825249964;108;456;2;52
573;52.91308346034981;107;455;3;52
574;52.920122425126664;108;456;2;52
575;53.34477351607138;107;455;3;52
576;53.49149128691846;106;454;4;52
577;53.52219584810484;107;455;3;52
578;53.6023390171936;106;454;4;52
579;53.605001836328796;107;455;3;52
580;53.65444186003828;108;456;2;52
581;53.93025025373843;107;455;3;52
582;53.93829459181463;108;455;2;53
583;54.053678914889296;109;456;1;53
584;54.394823878581846;108;455;2;53
585;54.45886119563057;109;456;1;53
586;54.533739204265196;108;455;2;53
587;54.61245832532553;109;456;1;53
588;54.66738708989755;108;455;2;53
589;54.719920258375716;109;455;1;54
590;54.857265217810465;110;456;0;54
591;54.990232359348035;109;455;1;54
592;54.99706905557513;110;456;0;54
593;55.072680684934944;109;455;1;54
594;55.12569438988152;110;456;0;54
595;55.65328288307326;109;455;1;54
596;55.707641590543645;108;454;2;54
597;55.73336443855412;109;455;1;54
598;55.76894858842984;108;454;2;54
599;56.08798652873477;107;453;3;54
600;56.08835460339647;106;452;4;54
